tanggal,Tn,Tx,Tavg,pr
01-01-1978,24,32.4,28.3,0
02-01-1978,24,31.8,28.3,8
03-01-1978,24,30.8,26.3,26
04-01-1978,23,30.6,26.3,21
05-01-1978,25,30.6,27.2,1
06-01-1978,26,30.2,27.3,9
07-01-1978,25,30.4,28.1,0
08-01-1978,22,30.2,28.3,17
09-01-1978,23,28.4,25.4,17
10-01-1978,23,28.6,25.6,19
11-01-1978,25,31.3,26.9,0
12-01-1978,24,31,25.9,0
13-01-1978,24,30.4,28.1,0
14-01-1978,23,30.4,27.1,0
15-01-1978,24,30,26.9,9
16-01-1978,24,30.3,27.3,0
17-01-1978,24,30.2,27.8,0
18-01-1978,24,29.5,26.3,1
19-01-1978,24,29.6,25.8,14
20-01-1978,24,30.6,26.7,0
21-01-1978,25,31,27.5,0
22-01-1978,24,30.9,27.7,7
23-01-1978,23,28.1,25.3,14
24-01-1978,24,28.2,25.3,29
25-01-1978,22,27.2,25.2,38
26-01-1978,25,29.9,25.9,2
27-01-1978,26,29.4,27.8,0
28-01-1978,26,30.1,27.9,0
29-01-1978,27,30.8,28.2,0
30-01-1978,25,29.9,27.9,2
31-01-1978,24,30.5,27.3,6
01-02-1978,25,30,26.7,66
02-02-1978,24,29.6,27.1,4
03-02-1978,22,28.8,25.2,62
04-02-1978,23,28.4,24.7,27
05-02-1978,24,28.8,24.9,24
06-02-1978,23,29.4,25.9,22
07-02-1978,23,29.5,26.1,3
08-02-1978,23,29.6,26.2,0
09-02-1978,23,29.8,26,0
10-02-1978,24,29.7,26.7,0
11-02-1978,24,30,26.4,0
12-02-1978,23,29.9,26.8,0
13-02-1978,24,30.6,27.1,0
14-02-1978,24,32.2,27.5,0
15-02-1978,24,31.1,27,0
16-02-1978,24,32.1,27.6,0
17-02-1978,23,31.3,26.6,44
18-02-1978,24,31.2,26.7,0
19-02-1978,24,30.4,27.1,0
20-02-1978,24,29.8,26.2,6
21-02-1978,24,29.7,26.4,1
22-02-1978,25,29.6,26.1,2
23-02-1978,23,30.4,26.6,32
24-02-1978,22,28.4,25.4,31
25-02-1978,22,27.6,25.1,14
26-02-1978,22,24,23.2,19
27-02-1978,22,25,23,11
28-02-1978,24,28.4,25,0
01-03-1978,23,29.4,26.2,0
02-03-1978,23,30.1,26.3,0
03-03-1978,24,30.6,26.6,0
04-03-1978,24,31.4,27,0
05-03-1978,24,32,28.2,0
06-03-1978,25,32,28.2,0
07-03-1978,24,32.2,27.6,0
08-03-1978,25,32.4,27.3,0
09-03-1978,24,33.1,28.1,0
10-03-1978,24,32.2,27.3,0
11-03-1978,24,32.2,27.5,1
12-03-1978,22,30.2,25.5,39
13-03-1978,25,30.7,26.1,6
14-03-1978,23,31.6,26.2,3
15-03-1978,26,31,26.5,2
16-03-1978,24,31.2,27,0
17-03-1978,24,32.8,27.9,0
18-03-1978,24,31.9,27.6,0
19-03-1978,23,32.8,27.3,0
20-03-1978,24,31.4,27.5,12
21-03-1978,24,32,27.4,0
22-03-1978,24,32.6,28.2,0
23-03-1978,24,32.4,28.1,0
24-03-1978,23,31.9,26.5,28
25-03-1978,24,30.2,26.1,1
26-03-1978,23,30.2,26.6,7
27-03-1978,23,29.2,26,0
28-03-1978,24,30.7,26.8,0
29-03-1978,24,31.2,27.3,0
30-03-1978,23,32.6,27.5,2
