tanggal,Tn,Tx,Tavg,pr
01-01-1978,24.0,32.4,28.3,0.0
02-01-1978,24.0,31.8,28.3,8.0
03-01-1978,24.0,30.8,26.3,26.0
04-01-1978,23.0,30.6,26.3,21.0
05-01-1978,25.0,30.6,27.2,1.0
06-01-1978,26.0,30.2,27.3,9.0
07-01-1978,25.0,30.4,28.1,0.0
08-01-1978,22.0,30.2,28.3,17.0
09-01-1978,23.0,28.4,25.4,17.0
10-01-1978,23.0,28.6,25.6,19.0
11-01-1978,25.0,31.3,26.9,0.0
12-01-1978,24.0,31.0,25.9,0.0
13-01-1978,24.0,30.4,28.1,0.0
14-01-1978,23.0,30.4,27.1,0.0
15-01-1978,24.0,30.0,26.9,9.0
16-01-1978,24.0,30.3,27.3,0.0
17-01-1978,24.0,30.2,27.8,0.0
18-01-1978,24.0,29.5,26.3,1.0
19-01-1978,24.0,29.6,25.8,14.0
20-01-1978,24.0,30.6,26.7,0.0
21-01-1978,25.0,31.0,27.5,0.0
22-01-1978,24.0,30.9,27.7,7.0
23-01-1978,23.0,28.1,25.3,14.0
24-01-1978,24.0,28.2,25.3,29.0
25-01-1978,22.0,27.2,25.2,38.0
26-01-1978,25.0,29.9,25.9,2.0
27-01-1978,26.0,29.4,27.8,0.0
28-01-1978,26.0,30.1,27.9,0.0
29-01-1978,27.0,30.8,28.2,0.0
30-01-1978,25.0,29.9,27.9,2.0
31-01-1978,24.0,30.5,27.3,6.0
01-02-1978,25.0,30.0,26.7,66.0
02-02-1978,24.0,29.6,27.1,4.0
03-02-1978,22.0,28.8,25.2,62.0
04-02-1978,23.0,28.4,24.7,27.0
05-02-1978,24.0,28.8,24.9,24.0
06-02-1978,23.0,29.4,25.9,22.0
07-02-1978,23.0,29.5,26.1,3.0
08-02-1978,23.0,29.6,26.2,0.0
09-02-1978,23.0,29.8,26.0,0.0
10-02-1978,24.0,29.7,26.7,0.0
11-02-1978,24.0,30.0,26.4,0.0
12-02-1978,23.0,29.9,26.8,0.0
13-02-1978,24.0,30.6,27.1,0.0
14-02-1978,24.0,32.2,27.5,0.0
15-02-1978,24.0,31.1,27.0,0.0
16-02-1978,24.0,32.1,27.6,0.0
17-02-1978,23.0,31.3,26.6,44.0
18-02-1978,24.0,31.2,26.7,0.0
19-02-1978,24.0,30.4,27.1,0.0
20-02-1978,24.0,29.8,26.2,6.0
21-02-1978,24.0,29.7,26.4,1.0
22-02-1978,25.0,29.6,26.1,2.0
23-02-1978,23.0,30.4,26.6,32.0
24-02-1978,22.0,28.4,25.4,31.0
25-02-1978,22.0,27.6,25.1,14.0
26-02-1978,22.0,24.0,23.2,19.0
27-02-1978,22.0,25.0,23.0,11.0
28-02-1978,24.0,28.4,25.0,0.0
01-03-1978,23.0,29.4,26.2,0.0
02-03-1978,23.0,30.1,26.3,0.0
03-03-1978,24.0,30.6,26.6,0.0
04-03-1978,24.0,31.4,27.0,0.0
05-03-1978,24.0,32.0,28.2,0.0
06-03-1978,25.0,32.0,28.2,0.0
07-03-1978,24.0,32.2,27.6,0.0
08-03-1978,25.0,32.4,27.3,0.0
09-03-1978,24.0,33.1,28.1,0.0
10-03-1978,24.0,32.2,27.3,0.0
11-03-1978,24.0,32.2,27.5,1.0
12-03-1978,22.0,30.2,25.5,39.0
13-03-1978,25.0,30.7,26.1,6.0
14-03-1978,23.0,31.6,26.2,3.0
15-03-1978,26.0,31.0,26.5,2.0
16-03-1978,24.0,31.2,27.0,0.0
17-03-1978,24.0,32.8,27.9,0.0
18-03-1978,24.0,31.9,27.6,0.0
19-03-1978,23.0,32.8,27.3,0.0
20-03-1978,24.0,31.4,27.5,12.0
21-03-1978,24.0,32.0,27.4,0.0
22-03-1978,24.0,32.6,28.2,0.0
23-03-1978,24.0,32.4,28.1,0.0
24-03-1978,23.0,31.9,26.5,28.0
25-03-1978,24.0,30.2,26.1,1.0
26-03-1978,23.0,30.2,26.6,7.0
27-03-1978,23.0,29.2,26.0,0.0
28-03-1978,24.0,30.7,26.8,0.0
29-03-1978,24.0,31.2,27.3,0.0
30-03-1978,23.0,32.6,27.5,2.0
31-03-1978,22.0,31.4,25.6,17.0
01-04-1978,23.0,32.0,27.3,17.0
02-04-1978,24.0,30.0,25.8,0.0
03-04-1978,24.0,29.8,26.1,14.0
04-04-1978,24.0,31.1,27.0,34.0
05-04-1978,25.0,30.9,27.0,0.0
06-04-1978,23.0,31.0,26.8,0.0
07-04-1978,24.0,30.4,26.5,0.0
08-04-1978,24.0,30.8,26.7,0.0
09-04-1978,24.0,31.0,26.8,0.0
10-04-1978,23.0,31.7,27.2,4.0
11-04-1978,23.0,31.6,28.0,0.0
12-04-1978,21.0,31.3,25.5,0.0
13-04-1978,23.0,31.6,26.2,16.0
14-04-1978,22.0,31.6,26.8,0.0
15-04-1978,20.0,31.4,26.5,0.0
16-04-1978,22.0,31.7,25.2,0.0
17-04-1978,23.0,31.5,26.4,0.0
18-04-1978,23.0,32.0,26.5,0.0
19-04-1978,23.0,32.1,26.6,0.0
20-04-1978,22.0,32.1,27.8,0.0
21-04-1978,22.0,32.4,26.9,0.0
22-04-1978,24.0,32.0,27.8,0.0
23-04-1978,24.0,32.2,27.8,1.0
24-04-1978,24.0,31.8,27.4,0.0
25-04-1978,24.0,32.4,27.9,0.0
26-04-1978,22.0,32.3,27.4,0.0
27-04-1978,23.0,31.9,27.0,0.0
28-04-1978,23.0,31.3,27.2,0.0
29-04-1978,24.0,31.8,27.7,0.0
30-04-1978,24.0,31.9,27.7,0.0
01-05-1978,25.0,32.5,27.5,1.0
02-05-1978,23.0,32.6,28.1,0.0
03-05-1978,21.0,32.8,27.2,0.0
04-05-1978,24.0,32.0,26.8,0.0
05-05-1978,24.0,32.4,27.5,0.0
06-05-1978,24.0,32.4,27.5,0.0
07-05-1978,24.0,32.3,27.5,18.0
08-05-1978,24.0,32.2,27.4,1.0
09-05-1978,23.0,32.9,28.5,0.0
10-05-1978,25.0,33.0,28.0,0.0
11-05-1978,24.0,32.4,27.5,0.0
12-05-1978,26.0,32.8,27.6,19.0
13-05-1978,25.0,31.6,28.0,0.0
14-05-1978,25.0,31.8,27.8,0.0
15-05-1978,23.0,31.9,27.0,0.0
16-05-1978,23.0,31.5,26.7,24.0
17-05-1978,23.0,31.5,26.5,38.0
18-05-1978,24.0,31.0,26.8,0.0
19-05-1978,24.0,30.6,27.6,2.0
20-05-1978,24.0,31.8,26.8,13.0
21-05-1978,24.0,31.3,26.0,45.0
22-05-1978,24.0,31.6,26.4,3.0
23-05-1978,24.0,30.6,27.1,0.0
24-05-1978,23.0,31.6,27.2,0.0
25-05-1978,24.0,32.4,27.2,0.0
26-05-1978,24.0,32.4,27.9,0.0
27-05-1978,24.0,32.2,28.0,0.0
28-05-1978,24.0,32.0,26.9,0.0
29-05-1978,24.0,32.2,27.9,0.0
30-05-1978,24.0,32.2,27.4,0.0
31-05-1978,23.0,31.6,27.6,0.0
01-06-1978,24.0,32.4,27.0,0.0
02-06-1978,23.0,31.7,27.3,0.0
03-06-1978,23.0,32.2,27.0,0.0
04-06-1978,23.0,31.1,26.5,0.0
05-06-1978,23.0,31.8,26.5,0.0
06-06-1978,23.0,31.9,26.9,0.0
07-06-1978,22.0,31.8,26.5,0.0
08-06-1978,21.0,31.2,26.3,0.0
09-06-1978,23.0,31.4,25.8,0.0
10-06-1978,22.0,31.6,26.3,2.0
11-06-1978,23.0,31.8,25.9,0.0
12-06-1978,23.0,30.8,25.6,24.0
13-06-1978,25.0,29.6,25.2,20.0
14-06-1978,24.0,29.4,25.8,0.0
15-06-1978,23.0,28.5,25.6,3.0
16-06-1978,24.0,30.0,26.5,0.0
17-06-1978,23.0,30.0,26.3,0.0
18-06-1978,24.0,31.4,26.3,0.0
19-06-1978,22.0,30.9,26.5,1.0
20-06-1978,24.0,31.2,26.0,0.0
21-06-1978,20.0,30.6,25.9,1.0
22-06-1978,22.0,29.7,25.6,0.0
23-06-1978,21.0,31.0,25.6,0.0
24-06-1978,23.0,30.9,25.9,0.0
25-06-1978,22.0,31.8,24.4,0.0
26-06-1978,23.0,31.0,26.8,0.0
27-06-1978,22.0,31.0,26.5,0.0
28-06-1978,22.0,30.6,25.6,0.0
29-06-1978,22.0,31.0,24.8,0.0
30-06-1978,23.0,31.7,26.1,0.0
01-07-1978,22.0,31.8,26.0,0.0
02-07-1978,22.0,29.5,24.5,0.0
03-07-1978,23.0,30.9,25.1,15.0
04-07-1978,23.0,30.6,26.2,0.0
05-07-1978,22.0,31.0,25.6,0.0
06-07-1978,23.0,30.5,25.6,0.0
07-07-1978,23.0,31.0,26.6,0.0
08-07-1978,25.0,30.2,26.9,0.0
09-07-1978,23.0,28.4,25.3,0.0
10-07-1978,21.0,28.3,24.8,22.0
11-07-1978,21.0,29.1,24.7,0.0
12-07-1978,21.0,28.3,24.4,0.0
13-07-1978,21.0,28.4,24.0,0.0
14-07-1978,23.0,26.4,24.1,0.0
15-07-1978,20.0,28.0,24.4,1.0
16-07-1978,19.0,28.3,23.5,0.0
17-07-1978,17.0,28.2,22.6,0.0
18-07-1978,20.0,28.5,22.7,0.0
19-07-1978,22.0,29.9,24.2,0.0
20-07-1978,21.0,30.0,25.8,1.0
21-07-1978,21.0,29.7,25.3,0.0
22-07-1978,21.0,30.4,24.5,0.0
23-07-1978,22.0,29.3,25.2,0.0
24-07-1978,22.0,30.4,26.3,0.0
25-07-1978,22.0,29.3,25.5,0.0
26-07-1978,22.0,30.4,25.8,0.0
